vertex_index,x,y,z,nx,ny,nz
0,-0.967355,-32.044900,2.587830,0.010480,0.999912,0.008093
1,-0.902249,-32.042500,2.613360,-0.025314,0.998927,0.038788
2,-0.891295,-32.041700,2.544250,-0.012988,0.999842,-0.012114
3,-1.463120,-32.041500,2.341650,-0.009008,0.998710,0.049963
4,-1.426770,-32.042600,2.292380,-0.001654,0.999997,-0.001874
5,-1.495540,-32.041700,2.257490,0.002872,0.999991,0.003056
6,-1.568630,-33.344300,2.924430,0.811746,0.185641,-0.553720
7,-1.579380,-33.382400,2.979950,0.885358,0.285208,0.367148
8,-1.554270,-33.413400,2.943480,0.887328,0.460082,-0.031206
9,-0.827750,-32.042100,2.704740,0.028966,0.999051,-0.032537
10,-0.749336,-32.041800,2.783760,0.007665,0.999882,-0.013278
11,-0.724106,-32.051300,2.720290,0.002701,0.999996,-0.000800
12,-0.771632,-32.045900,2.670610,0.011599,0.998121,0.060164
13,-1.840980,-31.970900,1.551810,-0.604329,0.796594,-0.014981
14,-1.784940,-31.968700,1.581260,0.593456,0.801798,0.070212
15,-1.798630,-31.951300,1.498270,0.441525,0.891104,-0.104829
16,-1.786420,-32.017200,1.513970,0.771363,0.635903,0.025050
17,-6.427150,-29.013000,0.217003,0.622606,0.774788,-0.109842
18,-6.485320,-29.024400,0.214040,-0.658662,0.734509,-0.163278
19,-6.462440,-28.993100,0.262546,-0.284896,0.926087,0.247380
20,-6.473630,-29.018600,0.154390,-0.059270,0.986803,0.150690
21,-6.482530,-31.951800,0.969465,-0.955949,0.280368,-0.086921
22,-6.510730,-32.042900,0.985758,-0.593800,0.786410,-0.170177
23,-6.485340,-31.989000,1.020330,-0.854470,0.510149,-0.098123
24,-3.544720,-29.644300,2.540420,0.995919,0.049267,-0.075614
25,-3.541850,-29.657900,2.624160,0.999967,0.008057,0.000622
26,-3.542000,-29.733000,2.584600,0.999709,-0.009161,-0.022330
27,-3.543690,-31.006700,0.697981,0.999936,-0.011083,0.002384
28,-3.542210,-31.017500,0.624127,0.999805,0.015467,-0.012289
29,-3.542030,-30.940400,0.659724,0.999426,0.033820,0.001986
30,-3.541970,-30.618300,2.859680,0.999685,-0.018174,-0.017318
31,-3.544990,-30.563000,2.823800,0.999217,-0.029648,-0.026208
32,-3.544250,-30.552100,2.893810,0.998155,0.002151,0.060682
33,-3.053490,-32.588900,-0.027955,-0.019861,0.053832,-0.998352
34,-3.101620,-32.661600,-0.029919,-0.017773,0.078654,-0.996744
35,-3.109750,-32.606500,-0.025141,-0.031210,0.081784,-0.996161
36,-1.153250,-32.863400,2.921640,-0.011159,-0.023153,-0.999670
37,-1.250950,-32.856300,2.920760,0.000402,0.010541,-0.999944
38,-1.182770,-32.781000,2.920150,0.010763,0.012775,-0.999860
39,-1.537280,-31.189200,0.028592,0.049417,0.026114,0.998437
40,-1.485500,-31.224800,0.027194,0.001886,0.040001,0.999198
41,-1.481340,-31.162100,0.024676,0.007186,0.029074,0.999551
42,-1.423040,-31.218400,0.029943,-0.021298,0.044180,0.998797
43,-1.082370,-32.044400,1.062820,-0.039749,0.999135,-0.012244
44,-1.159440,-32.045700,1.065500,0.015358,0.999618,-0.022992
45,-1.136690,-32.041500,1.136660,0.013064,0.999876,-0.008831
46,-9.028280,-32.042100,1.288950,-0.025711,0.999669,-0.000367
47,-8.977740,-32.041800,1.334150,-0.000611,0.999922,0.012504
48,-8.944250,-32.043300,1.250580,0.002742,0.999994,0.002117
49,-3.542880,-29.292300,0.456940,0.995146,0.036633,0.091340
50,-3.554740,-29.321800,0.517237,0.994976,0.075939,0.065233
51,-3.541790,-29.387300,0.503445,0.996689,0.029177,0.075895
52,-8.091470,-31.127300,0.027225,0.491159,0.619300,0.612561
53,-8.179520,-31.118900,0.020318,0.103334,0.072960,0.991967
54,-8.140950,-31.176600,0.028537,-0.029986,0.121285,0.992165
55,-3.541930,-30.340100,0.579532,0.998689,-0.022281,0.046083
56,-3.550410,-30.367000,0.634523,0.999738,-0.016846,0.015478
57,-3.543910,-30.395200,0.539095,0.998603,-0.011004,0.051675
58,-6.208420,-30.267900,2.924470,0.001208,0.000235,-0.999999
59,-6.139360,-30.220600,2.921100,-0.033391,0.011693,-0.999374
60,-6.138760,-30.282800,2.919990,-0.026273,-0.009296,-0.999612
61,-4.897300,-30.616200,0.029435,0.014781,0.050796,0.998600
62,-4.786600,-30.608500,0.027190,0.000900,0.040714,0.999170
63,-4.825790,-30.559900,0.023997,-0.011613,0.056239,0.998350
64,-3.541960,-30.221700,1.298010,0.999949,-0.004047,0.009220
65,-3.546740,-30.282700,1.290370,0.999767,-0.015485,-0.015028
66,-3.542500,-30.226600,1.228380,0.997113,0.074990,0.011903
67,-2.986370,-32.783800,2.920520,-0.005966,0.024545,-0.999681
68,-2.949810,-32.720000,2.929510,-0.028967,0.033442,-0.999021
69,-2.914140,-32.784700,2.924020,-0.022547,0.072180,-0.997137
70,-1.540960,-31.138900,-0.029952,0.012616,0.176249,-0.984265
71,-1.474950,-31.082300,-0.021677,0.278060,0.920813,-0.273470
72,-1.469240,-31.147900,-0.028720,0.030725,0.062910,-0.997546
