face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
0,-0.920300,-32.043033,2.581813,-0.038949,0.999227,0.005393
1,-1.461810,-32.041933,2.297173,0.017761,0.999800,-0.009218
2,-1.567427,-33.380033,2.949287,0.885358,0.285208,0.367148
3,-0.767064,-32.045067,2.736263,0.103792,0.988854,-0.106750
4,-0.774496,-32.046433,2.698547,0.084267,0.996059,0.027654
5,-1.808183,-31.963633,1.543780,-0.157245,0.961015,0.227429
6,-1.789997,-31.979067,1.531167,0.980001,0.150583,-0.130089
7,-6.458303,-29.010167,0.231196,-0.143902,0.861047,-0.487740
8,-6.462033,-29.018667,0.195144,-0.194803,0.979183,0.057033
9,-6.492867,-31.994567,0.991851,-0.929426,0.320433,0.183003
10,-3.542857,-29.678400,2.583060,0.999383,0.014782,-0.031851
11,-3.542643,-30.988200,0.660611,0.999684,-0.012422,0.021850
12,-3.543737,-30.577800,2.859097,0.998911,0.043325,-0.017304
13,-3.088287,-32.619000,-0.027671,-0.073338,0.075420,-0.994451
14,-1.195657,-32.833567,2.920850,0.007898,-0.015251,-0.999853
15,-1.501373,-31.192033,0.026821,0.052114,0.036619,0.997970
16,-1.463293,-31.201767,0.027271,-0.048348,0.043281,0.997892
17,-1.126167,-32.043867,1.088327,-0.018683,0.998422,-0.052956
18,-8.983423,-32.042400,1.291227,0.007446,0.999860,-0.014962
19,-3.546470,-29.333800,0.492541,0.957456,0.135668,0.254700
20,-8.137313,-31.140933,0.025360,-0.068786,0.095475,0.993052
21,-3.545417,-30.367433,0.584383,0.989108,-0.108522,0.099442
22,-6.162180,-30.257100,2.921853,-0.060500,0.017227,-0.998020
23,-4.836563,-30.594867,0.026874,0.014829,0.077465,0.996885
24,-3.543733,-30.243667,1.272253,0.996963,-0.077840,-0.002254
25,-2.950107,-32.762833,2.924683,0.049484,0.111501,-0.992532
26,-1.495050,-31.123033,-0.026783,0.030790,0.109345,-0.993527
27,-3.542630,-29.219567,2.636777,0.999640,-0.005422,-0.026282
28,-3.542483,-29.182367,2.609217,0.999507,-0.029899,-0.009540
29,-1.355923,-32.042500,1.776593,-0.049120,0.998779,0.005311
30,-1.379673,-32.042800,1.804500,-0.013221,0.999225,-0.037075
31,-0.829981,-32.377200,0.027189,0.154495,0.065227,0.985838
32,-0.526735,-34.445867,2.924833,0.035474,-0.045761,-0.998322
33,-0.577724,-32.070833,1.757293,0.975302,0.190449,0.111870
34,-2.163800,-31.796600,0.027576,0.047694,0.062797,0.996886
35,-1.118107,-32.043267,1.176027,0.040299,0.998854,0.025802
36,-1.060387,-30.991833,-0.025498,0.051332,0.119250,-0.991536
37,-8.817083,-32.041567,1.219707,0.009361,0.999921,0.008428
38,-1.615720,-31.164033,-0.027945,0.058661,0.048687,-0.997090
39,-6.410900,-29.005200,0.058358,0.677336,0.426579,0.599372
40,-4.570550,-30.424367,-0.027803,0.048820,0.041432,-0.997948
41,-8.459637,-32.044067,2.292843,0.042599,0.997597,0.054646
42,-9.266497,-32.042567,1.432787,0.018152,0.999827,-0.003990
43,-8.172027,-34.923867,1.447230,0.074236,0.994727,-0.070758
44,-1.157873,-32.044733,1.409183,0.070592,0.992925,0.095478
45,-1.840997,-32.029767,1.639357,-0.993814,0.092801,-0.061013
46,-5.052937,-34.925033,2.457120,-0.055739,0.997281,0.048202
47,-0.346628,-32.400200,-0.026301,0.089693,0.003812,-0.995962
48,-4.915080,-29.414300,0.021467,-0.127591,0.224663,0.966047
49,-1.982493,-31.298267,-0.028502,0.022556,0.004925,-0.999733
50,-4.610650,-29.488400,-0.024772,0.149412,0.066153,-0.986560
51,-1.068350,-32.045800,1.462080,-0.087503,0.996155,-0.004253
52,-5.015657,-30.129100,-0.029217,0.020857,0.008784,-0.999744
53,-1.437860,-31.104100,0.024187,0.129634,0.186115,0.973939
54,-1.388480,-31.105733,0.024470,-0.097253,0.135618,0.985977
55,-4.468237,-29.791233,-0.025730,0.108748,0.006756,-0.994046
56,-4.426303,-29.811067,-0.025489,-0.055715,0.036301,-0.997787
57,-1.830663,-33.540267,-0.026095,-0.050295,0.116297,-0.991940
58,-0.591009,-32.045933,0.739779,0.029632,0.997129,0.069685
59,-4.227550,-29.405233,-0.017688,-0.331608,0.495166,-0.803024
60,-4.281640,-29.401467,-0.014461,0.183237,0.427757,-0.885126
61,-3.306033,-32.076233,1.034913,0.598601,0.799316,-0.052644
62,-1.868393,-31.039367,2.968173,-0.371301,0.333483,0.866559
63,-1.852827,-31.024400,2.948867,-0.167217,0.983794,-0.064708
64,-1.093787,-31.062267,-0.028113,-0.022143,0.024171,-0.999463
65,-1.336350,-32.042867,0.421303,0.013513,0.999318,-0.034379
66,-3.590540,-29.511033,-0.011016,0.467186,0.385427,-0.795728
67,-4.010807,-30.524933,-0.024348,0.020003,0.012974,-0.999716
68,-3.699997,-31.665900,-0.028811,0.001595,0.005337,-0.999984
69,-3.142777,-34.926500,1.861520,0.063547,0.996513,0.054068
70,-6.292287,-28.883200,-0.010004,-0.828407,0.524046,-0.197783
71,-1.818060,-31.351433,0.029368,0.009829,0.016715,0.999812
72,-1.422293,-31.086100,-0.011549,0.130805,0.935150,-0.329216
73,-1.388643,-31.071100,0.001823,-0.395043,0.537443,-0.745048
74,-1.480727,-32.041933,1.377920,-0.022032,0.999757,0.000325
75,-1.617743,-32.042467,2.209163,0.006806,0.999943,-0.008250
76,-3.604977,-30.764200,0.971524,-0.758195,0.371257,0.536012
77,-1.293627,-30.954067,0.001826,-0.760098,0.629541,-0.161027
78,-1.741233,-32.036800,1.537023,0.328899,0.932653,0.148272
79,-3.555253,-29.904767,0.061650,0.988045,-0.068517,-0.138102
80,-3.556547,-29.947133,0.049227,0.994792,0.063166,-0.079999
81,-2.576527,-32.789300,-0.028085,-0.010959,0.019402,-0.999752
82,-4.759240,-31.077067,-0.026409,0.055257,0.018560,-0.998300
83,-4.708287,-31.089533,-0.026651,-0.062462,0.052630,-0.996659
84,-3.544900,-29.739033,0.360704,0.999210,-0.039557,0.003861
85,-3.544290,-29.777167,0.334021,0.999118,0.031030,0.028306
86,-2.258203,-31.432267,0.023376,-0.180928,0.105217,0.977852
87,-2.293863,-31.432833,0.022327,0.109400,0.127577,0.985777
88,-4.002820,-29.494100,-0.026368,0.008519,0.054483,-0.998478
89,-4.881120,-31.169833,-0.026411,0.036483,0.069683,-0.996902
90,-4.868753,-30.612633,-0.025617,0.214228,0.137671,-0.967033
91,-3.545397,-31.140933,0.269001,0.997108,-0.019637,0.073418
92,-4.575160,-34.925833,1.652530,-0.039057,0.998257,-0.044238
93,-4.606877,-34.926567,1.640320,0.023490,0.999688,-0.008522
94,-3.549737,-30.999333,0.144104,0.984095,0.092818,-0.151463
95,-3.542380,-30.905533,2.088637,0.999974,-0.004260,0.005796
96,-3.546613,-31.075033,0.222524,0.987187,0.158181,-0.021007
97,-3.546177,-31.051000,0.198188,0.983660,-0.036777,0.176241
98,-1.958453,-32.044133,2.818613,0.079902,0.996556,-0.022166
99,-3.553703,-29.141600,0.085862,0.999580,0.022023,-0.018845
100,-1.120493,-32.074333,0.874475,0.380735,0.814232,-0.438254
101,-1.304797,-32.043967,2.429733,-0.103424,0.987924,0.115368
102,-1.282723,-32.042100,2.405283,0.001510,0.999998,0.001390
103,-4.187660,-31.194033,-0.027012,-0.005672,0.028787,-0.999569
104,-4.816910,-31.011867,-0.027390,-0.072840,0.032883,-0.996801
105,-2.540867,-31.763300,0.028259,-0.017696,0.041346,0.998988
106,-3.979687,-31.478700,0.027932,-0.030437,0.034820,0.998930
107,-2.958523,-32.857167,2.976720,0.056900,0.096415,0.993714
108,-3.542340,-30.820633,0.936505,0.999951,0.009266,-0.003525
109,-6.434760,-29.021700,0.611575,0.947661,0.262482,-0.181776
110,-6.453310,-29.011300,0.631580,0.125182,0.922378,0.365443
111,-8.982227,-32.043467,1.449000,0.052661,0.998514,0.014052
112,-8.942483,-32.043733,1.449800,-0.043063,0.999033,-0.008876
113,-9.040433,-32.042467,1.173703,-0.058865,0.998240,-0.007181
114,-3.548950,-31.228467,1.560137,0.994837,-0.034920,-0.095286
115,-3.548130,-31.257533,1.531867,0.992911,0.071239,0.095143
116,-0.600391,-34.409433,2.923870,-0.091980,-0.038832,-0.995003
117,-2.308323,-31.394033,0.012457,-0.052016,0.385501,0.921240
118,-2.582950,-32.061900,0.028718,-0.012945,0.028712,0.999504
119,-3.618947,-31.443600,-0.024043,0.207815,0.108324,-0.972152
120,-3.565480,-30.990433,0.795467,0.689967,-0.039779,0.722747
121,-4.685400,-31.575867,-0.028520,-0.029834,0.008371,-0.999520
122,-1.065337,-32.045067,1.228840,-0.102058,0.994150,0.035352
123,-1.625390,-33.286767,2.922030,-0.059558,0.037003,-0.997539
124,-1.078140,-32.044700,1.267277,-0.071609,0.990736,-0.115386
125,-1.114760,-32.045067,1.250647,0.106820,0.994160,-0.015327
126,-1.537600,-32.042000,1.098117,0.005043,0.999854,-0.016322
127,-1.043103,-32.043767,1.201943,-0.022592,0.999504,-0.021920
128,-0.779956,-32.227900,-0.028219,-0.023172,0.029379,-0.999300
129,-2.075303,-31.196233,-0.017861,-0.020393,0.338924,-0.940593
130,-2.036157,-31.177600,-0.017225,-0.227956,0.207030,-0.951407
131,-3.336923,-32.073667,0.914239,-0.269524,0.882107,-0.386322
132,-8.933863,-33.688067,-0.027456,-0.082498,0.047524,-0.995457
133,-0.556701,-32.116100,0.060108,0.791708,0.120491,0.598899
134,-0.701514,-32.076267,0.796645,-0.323661,0.636403,0.700168
135,-0.968799,-32.858433,2.962260,0.971682,0.078261,0.222956
136,-3.908600,-34.049967,2.922983,0.176416,0.090915,-0.980108
137,-0.381983,-34.355100,2.928900,0.041612,0.277401,-0.959853
138,-0.781219,-32.043300,0.212428,-0.036617,0.998365,-0.043899
139,-0.818476,-32.043367,0.210568,0.027524,0.999213,-0.028554
140,-1.345150,-32.042233,1.614777,-0.014285,0.999898,-0.000401
141,-1.122600,-33.675700,2.927147,0.038351,-0.033912,-0.998689
142,-1.223123,-32.042900,1.705030,0.011158,0.999371,-0.033659
143,-1.223153,-32.042800,1.665917,0.035156,0.998958,0.029109
144,-1.009544,-33.420333,2.921210,0.021172,-0.034587,-0.999177
145,-3.224853,-34.925033,1.460467,0.025405,0.999663,-0.005331
146,-3.182840,-34.925133,1.434743,-0.013621,0.999610,0.024377
147,-1.997740,-31.162467,2.952860,-0.978822,0.176234,0.104156
148,-0.862443,-34.928200,1.043883,-0.012459,0.994767,0.101403
149,-2.893970,-34.920400,0.989095,-0.137379,0.901022,0.411445
150,-1.626537,-32.042933,1.260213,0.026129,0.999110,-0.033116
151,-2.251057,-31.361200,-0.018027,-0.064363,0.470026,-0.880303
152,-3.546153,-31.381133,2.128547,0.986119,-0.074251,0.148516
153,-3.545773,-31.422433,2.130963,0.988138,0.123163,0.091731
154,-0.744250,-34.585900,2.921813,-0.034968,-0.063304,-0.997382
155,-1.729177,-33.382533,2.924580,-0.103648,0.133340,-0.985636
156,-1.051293,-33.521733,2.922027,0.003285,0.034163,-0.999411
157,-1.082143,-32.043033,1.140650,0.024838,0.998712,0.044243
158,-2.726393,-32.435333,2.921390,0.016160,0.001585,-0.999868
159,-1.208653,-32.044833,1.228070,-0.134383,0.990796,0.016284
160,-1.228793,-32.042533,2.232907,-0.032141,0.999192,0.024119
161,-1.201490,-31.056267,-0.028184,0.023885,0.035142,-0.999097
162,-1.359177,-33.581633,2.927163,-0.017053,0.124526,-0.992070
163,-0.324040,-34.396667,2.952947,0.976945,0.083067,0.196666
164,-1.380730,-33.013367,-0.026936,0.066995,0.069929,-0.995300
165,-1.307470,-32.043533,1.606430,0.084267,0.995265,-0.048451
166,-2.226680,-33.142700,2.920520,0.003490,0.002714,-0.999990
167,-1.378847,-32.043433,1.212787,0.053853,0.997979,-0.033724
168,-1.369547,-32.043700,1.175523,0.038077,0.998340,0.043223
169,-0.974584,-32.042300,1.235633,-0.001748,0.999959,-0.008871
170,-1.399860,-32.043833,1.664650,0.075890,0.996646,0.030623
171,-0.884575,-34.927900,0.377675,0.105692,0.994367,-0.008007
172,-0.850667,-34.929167,0.393263,0.004858,0.999943,-0.009527
173,-0.978374,-32.741967,2.943047,0.920623,0.040290,0.388368
