vertex_index,x,y,z,nx,ny,nz
0,0.992643,10.913800,2.927650,0.003816,0.006976,-0.999968
1,0.983327,10.819900,2.920260,-0.004249,-0.061827,-0.998078
2,0.950319,10.870700,2.922470,-0.223675,-0.032898,-0.974109
3,-1.729850,18.221500,0.147023,-0.051564,-0.013315,-0.998581
4,-1.736330,18.323200,0.147401,-0.027266,-0.035074,-0.999013
5,-1.663660,18.252700,0.145704,0.025563,-0.011357,-0.999609
6,-2.259930,12.005900,2.923670,-0.463701,-0.530108,-0.709906
7,-2.180480,11.929300,2.919970,-0.424964,-0.401590,-0.811253
8,-2.236620,11.966100,2.967270,-0.714848,-0.662815,-0.222865
9,-2.182680,12.000900,2.924360,-0.004321,-0.005964,-0.999973
10,3.868690,14.011200,2.920020,-0.002316,-0.007798,-0.999967
11,3.762920,14.056600,2.924200,-0.014694,0.009748,-0.999845
12,3.813070,14.107300,2.920600,-0.041561,-0.020167,-0.998932
13,-2.175580,11.428800,2.978600,-0.012720,-0.325527,0.945447
14,-2.180000,11.358600,2.954370,-0.213203,-0.976931,-0.012272
15,-2.099540,11.368200,2.977660,0.021814,-0.793187,0.608588
16,-2.102790,11.365900,2.923690,-0.087177,-0.731807,-0.675913
17,0.999378,10.762000,2.932820,-0.474839,-0.765969,-0.433382
18,0.932835,10.769400,2.924030,-0.455361,-0.539132,-0.708508
19,1.060610,10.794500,2.922890,0.111548,-0.250313,-0.961717
20,4.716780,14.413600,2.950300,0.655029,-0.754678,0.037400
21,4.649910,14.412300,2.923040,0.189017,-0.180537,-0.965235
22,4.687690,14.461500,2.921610,0.285560,-0.102557,-0.952858
23,3.709660,13.770100,2.921990,0.009301,0.014600,-0.999850
24,3.678030,13.838700,2.923330,-0.014640,-0.022084,-0.999649
25,3.749960,13.828300,2.921820,0.006290,0.017215,-0.999832
26,3.971180,12.858100,2.979940,-0.148890,-0.786107,0.599890
27,3.914360,12.887700,2.972700,-0.147576,-0.422075,0.894468
28,3.924180,12.829400,2.946810,0.013557,-0.999631,-0.023544
29,3.851090,12.897800,2.979930,-0.291739,-0.651046,0.700734
30,1.200040,10.927700,0.021799,0.202405,-0.272022,0.940764
31,1.213970,10.873900,-0.007930,0.523556,-0.848187,-0.080421
32,1.261600,10.940800,0.025909,0.625452,-0.507056,0.593047
33,1.251640,10.951300,-0.029997,0.419193,-0.549066,-0.723052
34,0.268977,18.626500,0.147705,-0.048955,-0.056728,-0.997189
35,0.337651,18.690000,0.146226,-0.058844,-0.052462,-0.996888
36,0.341974,18.604800,0.148769,0.006004,-0.028816,-0.999567
37,2.802080,17.248500,2.925610,-0.018937,0.008875,-0.999781
38,2.801650,17.322400,2.922780,0.003959,0.004527,-0.999982
39,2.854140,17.286200,2.920160,-0.480085,-0.320007,-0.816770
40,3.064500,13.856400,2.920090,0.005284,0.005366,-0.999972
41,2.987580,13.853800,2.919990,-0.025026,0.027909,-0.999297
42,3.005860,13.949600,2.920530,-0.007473,0.000236,-0.999972
43,3.366940,13.266400,2.922880,-0.012840,-0.027106,-0.999550
44,3.297780,13.264800,2.920280,0.006292,0.003912,-0.999973
45,3.334220,13.330300,2.922680,-0.011551,0.010065,-0.999883
46,-1.231620,10.954900,2.965250,-0.651555,-0.596997,0.468050
