face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
0,0.975430,10.868133,2.923460,0.046814,0.073755,-0.996177
1,-1.709947,18.265800,0.146709,-0.021043,0.002375,-0.999776
2,-2.225677,11.967100,2.936970,-0.675360,-0.687610,-0.266611
3,-2.207697,11.978700,2.922667,0.012901,0.061588,-0.998018
4,3.814893,14.058367,2.921607,-0.049064,-0.022370,-0.998545
5,-2.151707,11.385200,2.970210,-0.231164,-0.304395,0.924071
6,-2.127443,11.364233,2.951907,0.108167,-0.993487,0.035825
7,0.971847,10.783767,2.925703,0.108876,-0.181816,-0.977287
8,1.014438,10.792133,2.925323,-0.039940,-0.222388,-0.974140
9,4.684793,14.429133,2.931650,0.364536,-0.305489,-0.879654
10,3.712550,13.812367,2.922380,-0.019461,0.010556,-0.999755
11,3.936573,12.858400,2.966483,-0.330597,-0.428997,0.840635
12,3.896543,12.871633,2.966480,0.040823,-0.399772,0.915705
13,1.225203,10.914133,0.013259,0.042357,-0.474798,0.879075
14,1.242403,10.922000,-0.004006,0.844062,-0.479339,-0.240404
15,0.316201,18.640433,0.147567,0.005788,-0.029540,-0.999547
16,2.819290,17.285700,2.922850,-0.076351,-0.038599,-0.996334
17,3.019313,13.886600,2.920203,0.001117,0.005424,-0.999985
18,3.332980,13.287167,2.921947,0.037195,0.015918,-0.999181
19,-1.224223,10.979800,2.974057,-0.112906,-0.301330,0.946812
20,-1.242743,10.980600,2.955033,-0.842738,-0.469469,-0.263422
21,-2.409787,11.555367,2.921550,0.016094,-0.049840,-0.998628
22,-2.403840,11.520833,2.925050,0.026644,-0.123952,-0.991930
23,-1.412957,11.636933,2.920360,0.000275,-0.010234,-0.999948
24,4.712073,14.459433,2.938073,0.542403,-0.164096,-0.823936
25,0.199690,19.324333,0.784359,0.074933,-0.996920,0.023128
26,0.229284,19.323867,0.759759,0.000901,-0.995148,0.098383
27,-1.648167,18.896833,0.203964,0.027068,-0.028234,0.999235
28,-2.058140,15.075800,0.029848,-0.001389,-0.003097,0.999994
29,2.400953,19.323200,1.444250,0.003293,-0.997820,0.065912
30,2.411500,18.675033,2.923050,-0.031109,0.090325,-0.995426
31,2.440490,18.705300,2.922497,-0.116568,0.010329,-0.993129
32,1.939413,19.419633,0.516377,-0.055428,-0.996643,-0.060259
33,1.912053,19.419600,0.487922,0.027060,-0.991475,0.127460
34,4.178950,14.471200,0.025934,-0.039436,-0.023718,0.998941
35,-2.264387,19.323067,2.745620,-0.035778,-0.998190,0.048338
36,-1.421173,18.813533,0.146653,-0.013232,-0.032204,-0.999394
37,2.901223,17.045900,2.260330,-0.997998,-0.062157,-0.011657
38,2.953683,17.878700,1.808633,0.983111,-0.182980,-0.003277
39,2.161843,14.804867,2.926653,0.178226,0.027107,-0.983616
40,2.447183,19.274433,2.960713,0.078724,-0.595975,0.799135
41,1.186717,18.936367,2.920430,0.004030,-0.011648,-0.999924
42,0.377849,19.323600,2.520600,-0.002425,-0.995311,0.096691
43,-1.426273,17.186733,2.923113,-0.097547,0.051021,-0.993922
44,1.899543,19.323833,2.710900,0.002949,-0.993197,-0.116408
45,0.287948,11.531767,2.920700,-0.003508,0.001670,-0.999992
46,1.929897,14.915100,0.027624,0.016137,-0.029379,0.999438
47,-2.925650,18.246233,2.547817,0.993625,-0.110342,-0.023113
48,-2.925730,18.219333,2.521867,0.994785,0.020038,0.100006
49,-1.823083,13.519133,-0.028337,-0.018758,-0.033735,-0.999255
50,2.901880,17.848867,2.837003,-0.992835,0.004398,-0.119415
51,2.221550,16.188333,2.920727,-0.000591,0.012009,-0.999928
52,2.001933,19.417533,1.500300,0.022014,-0.999757,0.001358
53,4.328033,14.595267,2.920867,0.011453,0.009813,-0.999886
54,2.430693,19.324967,0.433262,0.086050,-0.996289,0.001680
55,1.522870,16.937600,2.921440,-0.005586,0.042089,-0.999098
56,1.535620,16.976333,2.921430,-0.029739,-0.030878,-0.999081
57,-2.914947,18.056267,1.174070,0.945371,0.122965,0.301918
58,2.083877,19.190333,2.923783,0.097642,-0.037313,-0.994522
59,2.360047,17.435767,2.922960,0.038993,0.030407,-0.998777
60,2.359487,17.471900,2.922453,0.021160,-0.072879,-0.997116
61,2.406010,19.323000,0.251994,0.083310,-0.996483,-0.009029
62,2.422897,19.303333,0.215756,-0.316276,-0.602820,0.732515
63,2.233147,17.396067,2.922503,-0.033911,-0.044766,-0.998422
64,1.272783,18.844067,2.921030,0.029958,-0.030681,-0.999080
65,2.900577,17.617467,1.459920,-0.999075,-0.039002,-0.018096
66,2.805403,14.333933,2.920760,0.000393,-0.016268,-0.999868
67,3.742063,14.152500,2.921830,0.052626,-0.104505,-0.993131
68,2.900293,17.764467,2.458890,-0.999802,-0.018255,0.007948
69,1.412653,19.135767,2.922970,0.028520,-0.077968,-0.996548
70,1.600110,18.652167,2.924187,-0.030139,0.104518,-0.994066
71,1.371753,18.318367,2.921233,0.002247,-0.052835,-0.998601
72,4.069897,13.810433,2.936613,0.226874,-0.627050,-0.745209
73,2.700997,15.292400,2.923887,0.098954,-0.060126,-0.993274
74,1.835167,15.742167,-0.024015,0.005852,-0.044240,-0.999004
75,1.808707,15.762200,-0.026345,0.067290,-0.090359,-0.993633
76,1.711137,17.274067,2.921510,0.033524,-0.025858,-0.999103
77,1.753037,17.276467,2.921783,-0.029381,-0.013817,-0.999473
78,-1.834520,19.364933,1.925690,0.017330,-0.990073,0.139480
79,-1.804810,19.364800,1.956417,-0.123898,-0.990330,-0.062415
80,-0.147893,18.330867,0.148276,-0.048430,-0.033860,-0.998253
81,-1.942630,15.202833,0.031907,-0.031183,-0.139872,0.989678
82,1.474287,19.328367,2.581287,0.000915,-0.999985,0.005349
83,2.537833,18.512833,2.925153,0.107545,-0.055902,-0.992627
84,2.572180,18.521300,2.924477,-0.091575,-0.085305,-0.992138
85,2.471180,19.325767,2.189690,-0.104548,-0.992289,-0.066569
86,-1.923357,11.461467,-0.027160,0.065194,-0.122439,-0.990333
87,2.228193,19.321533,2.821017,-0.031506,-0.998818,-0.037022
88,2.272193,18.303033,2.923150,-0.052384,0.063128,-0.996630
89,2.483627,19.324900,2.674070,-0.064672,-0.995794,-0.064896
90,2.368617,19.323233,2.833173,-0.024696,-0.999695,0.000933
91,2.254483,19.336333,1.980497,-0.323744,-0.943603,0.069310
92,0.962265,19.373600,1.545073,0.082670,-0.996567,-0.004451
93,2.516913,19.324033,2.832157,0.033975,-0.999417,-0.003434
94,2.493070,18.029667,2.922313,-0.047962,-0.024546,-0.998548
95,2.463813,18.050433,2.922160,-0.006940,-0.066893,-0.997736
96,2.287140,17.514333,2.923773,0.003296,0.050603,-0.998713
97,2.253370,17.504233,2.922430,0.036714,0.069856,-0.996881
98,2.131750,19.165533,2.966737,0.467608,-0.215102,0.857364
99,2.071793,19.321300,2.807760,-0.006703,-0.999944,-0.008205
100,0.229963,13.458200,2.923210,-0.025057,-0.046616,-0.998599
101,2.336853,19.204967,2.957563,-0.166928,-0.981001,0.098855
102,4.059840,14.003933,2.921563,0.013429,-0.044766,-0.998907
103,4.275487,14.204900,0.028848,-0.035766,-0.002057,0.999358
104,3.910720,13.837567,0.029035,-0.014322,-0.020419,0.999689
105,2.899703,17.985733,2.732650,-0.999959,-0.006936,0.005898
106,2.714220,17.357467,0.159058,-0.097927,-0.865725,0.490847
107,2.901723,15.761867,1.456873,-0.993904,0.110164,0.004358
108,4.454410,14.295300,-0.026300,0.110639,-0.110382,-0.987712
109,0.526315,19.323567,0.888018,-0.017193,-0.999401,-0.030029
110,2.901487,15.356100,1.768433,-0.993834,-0.077555,-0.079238
111,2.645663,14.545233,2.923163,-0.013624,-0.019439,-0.999718
112,3.901727,14.055867,2.921793,0.044438,0.006794,-0.998989
113,1.930403,11.497933,2.948120,-0.324963,-0.503071,-0.800823
114,3.222743,12.980000,2.926537,-0.042018,-0.048640,-0.997932
115,3.181897,12.967900,2.925493,0.140932,-0.050334,-0.988739
116,-2.105913,11.563133,2.922730,0.089765,0.047766,-0.994817
117,2.902550,14.983333,1.175250,-0.999365,-0.033794,-0.011293
