vertex_index,x,y,z,nx,ny,nz
89,-3.542630,-12.059200,0.581841,0.998661,-0.050417,0.011587
90,-3.548440,-12.114100,0.550052,0.999646,-0.010745,0.024346
91,-2.298630,-9.973300,2.781380,0.007347,0.999958,-0.005424
92,-2.222570,-9.974030,2.813790,0.055367,0.997965,-0.031622
93,-2.195480,-9.977590,2.737970,0.048473,0.998392,0.029407
94,-8.674490,-9.931400,0.613698,0.008294,0.999965,0.000756
95,-8.575070,-9.926410,0.581495,-0.013182,0.999863,0.009981
96,-8.647550,-9.931580,0.556238,-0.007653,0.999114,0.041373
97,-8.605110,-9.929170,0.651752,0.019938,0.999801,0.001103
98,-4.343900,-4.847080,-0.028126,0.005530,0.003991,-0.999977
99,-4.286480,-4.869940,-0.027900,-0.002168,0.014234,-0.999896
100,-4.328900,-4.914890,-0.028314,-0.004420,0.013380,-0.999901
101,-0.626590,-7.046210,1.833600,-0.062953,0.998016,-0.000864
102,-0.731195,-7.046690,1.796510,0.001667,0.997895,0.064825
103,-0.719216,-7.053530,1.879960,-0.002484,0.999211,-0.039647
104,-0.660070,-7.042080,1.939330,-0.020735,0.997779,-0.063298
105,-5.629510,-4.098550,-0.028576,0.089069,-0.088422,-0.992093
106,-5.661560,-3.973030,0.025338,0.125814,0.057333,0.990396
107,-5.652790,-4.054120,0.028918,0.038697,0.055516,0.997708
108,-5.608800,-4.004190,0.020439,0.063250,0.112661,0.991618
109,-5.060530,-11.944900,2.970450,0.620737,0.099875,0.777631
110,-5.060160,-12.020700,2.979890,0.620737,0.099875,0.777631
111,-5.009420,-11.990200,2.935470,0.951794,-0.045540,-0.303338
112,-5.472390,-4.041130,0.028838,0.634938,0.300794,0.711601
113,-5.428380,-4.130870,0.017103,0.870858,0.069255,0.486632
114,-5.472720,-4.035900,-0.027588,0.648597,0.325942,-0.687811
115,-6.425210,-5.413760,0.419257,0.992770,-0.102522,0.062427
116,-6.425510,-5.464480,0.382332,0.996984,-0.030613,0.071316
117,-6.424920,-5.417290,0.340992,0.998832,-0.015956,-0.045605
118,0.178813,-7.539990,-0.029998,0.232953,0.129201,-0.963867
119,0.090886,-7.510000,-0.029866,-0.016059,0.027276,-0.999499
120,0.149534,-7.462790,-0.026727,0.237434,0.145181,-0.960493
121,-4.224160,-11.600800,2.919970,-0.031847,0.072594,-0.996853
122,-4.303210,-11.643800,2.920310,-0.027123,-0.001561,-0.999631
123,-4.296380,-11.562400,2.920160,0.056143,0.003367,-0.998417
124,-0.199183,-9.792800,0.026877,0.030770,0.074820,0.996722
125,-0.142683,-9.739520,0.026388,-0.026297,0.032147,0.999137
126,-0.206534,-9.728440,0.022272,0.013092,0.069244,0.997514
127,-0.049210,-7.493940,2.923310,-0.040039,0.018072,-0.999035
128,-0.095781,-7.539540,2.920100,-0.003211,0.028304,-0.999594
129,-0.114366,-7.474570,2.930180,0.014622,0.011822,-0.999823
130,-0.062993,-7.422350,2.920210,-0.077032,0.016420,-0.996893
131,-6.476090,-4.483670,1.025210,0.156895,0.146897,0.976630
132,-6.510150,-4.433840,1.004230,0.116853,0.749305,0.651834
133,-6.556010,-4.489490,1.023170,-0.049895,0.358396,0.932235
134,-0.343362,-7.556880,2.921320,0.109027,-0.101869,-0.988805
135,-0.391772,-7.515780,2.921240,-0.000932,0.006424,-0.999979
136,-0.340370,-7.458810,2.920220,-0.008799,-0.000751,-0.999961
137,-0.895652,-9.665340,-0.029429,0.001301,0.059444,-0.998231
138,-0.803766,-9.701040,-0.028539,-0.033223,0.045608,-0.998407
139,-0.864700,-9.747200,-0.029530,0.009224,0.004719,-0.999946
140,-0.260729,-9.822610,0.027207,-0.016712,0.029948,0.999412
141,-0.179116,-9.867810,0.027827,-0.153529,0.110990,0.981891
142,-0.027127,-9.606210,0.029728,-0.064708,0.016037,0.997775
143,-0.085529,-9.629970,0.022374,-0.081267,0.052347,0.995317
144,-0.057790,-9.686830,0.027629,-0.081267,0.052347,0.995317
145,-4.259690,-5.740020,-0.030006,0.085885,0.034402,-0.995711
146,-4.346910,-5.706290,-0.028453,-0.028807,0.090145,-0.995512
147,-4.317120,-5.647260,-0.023481,-0.013196,0.077407,-0.996912
148,-5.670530,-12.780300,0.028846,0.015352,0.067433,0.997606
149,-5.679840,-12.716900,0.022857,0.034078,0.036031,0.998769
150,-5.740620,-12.740000,0.029650,0.068291,0.034785,0.997059
151,-2.480130,-10.585600,-0.022211,-0.053405,0.093395,-0.994196
152,-2.408270,-10.607000,-0.025191,0.051434,0.041324,-0.997821
153,-2.461080,-10.657800,-0.030017,0.007941,0.029796,-0.999524
154,-3.548650,-12.934000,0.137716,0.993726,-0.001480,-0.111834
155,-3.551860,-12.886400,0.095678,0.997027,0.005128,-0.076882
156,-3.541650,-12.889000,0.182092,0.999945,-0.000259,-0.010526
157,-2.162400,-10.317400,-0.009178,0.800282,0.594904,-0.075087
158,-2.209200,-10.287600,-0.025017,0.236148,0.727059,-0.644685
159,-2.207310,-10.289100,0.024813,0.323252,0.758096,0.566391
160,0.090676,-7.606870,2.936770,0.007284,-0.146409,-0.989197
161,-0.004571,-7.588120,2.927540,0.040048,-0.070610,-0.996700
162,0.079882,-7.539370,2.926700,-0.010268,-0.075127,-0.997121
163,0.141672,-7.556310,2.925970,0.036581,-0.102953,-0.994013
164,-0.705429,-7.375600,2.920990,-0.003355,0.019112,-0.999812
165,-0.752392,-7.323180,2.922910,0.049590,0.026327,-0.998423
166,-0.653356,-7.344230,2.922290,-0.001097,0.076085,-0.997101
167,-2.625690,-8.787050,2.922040,-0.001528,-0.006163,-0.999980
168,-2.591220,-8.868190,2.924310,-0.023911,-0.022550,-0.999460
169,-2.661860,-8.866970,2.921160,0.033149,-0.025225,-0.999132
170,-2.545090,-8.822070,2.920960,-0.012635,-0.008612,-0.999883
171,-0.122579,-9.596510,-0.027329,-0.008029,0.004546,-0.999957
172,-0.093726,-9.662060,-0.028704,-0.002761,0.017902,-0.999836
173,-0.185601,-9.656240,-0.028386,-0.019491,0.064606,-0.997721
174,-6.446110,-6.181870,1.026510,0.556725,0.131478,0.820226
175,-6.403640,-6.181590,0.982472,0.888751,0.002073,0.458386
176,-6.418540,-6.101740,1.011000,0.711427,0.137856,0.689106
177,-4.730050,-5.654330,-0.027911,0.037395,-0.006997,-0.999276
178,-4.667780,-5.676270,-0.023960,0.015404,0.034500,-0.999286
179,-4.741250,-5.735390,-0.027409,0.018839,0.034875,-0.999214
180,-4.660170,-5.746210,-0.030005,0.025674,0.012775,-0.999589
181,-1.537950,-11.061700,-0.029534,0.112704,0.091468,-0.989410
182,-1.476430,-11.048800,-0.027208,-0.066388,0.084215,-0.994234
183,-1.492860,-11.137400,-0.028586,0.009608,0.013765,-0.999859
184,-8.582060,-9.932740,0.723900,-0.005517,0.999935,-0.009992
185,-8.529460,-9.931560,0.767400,-0.013946,0.999682,-0.021028
186,-8.509740,-9.926950,0.701895,-0.055030,0.998485,0.000475
187,-8.582070,-9.927480,0.790455,0.016644,0.998304,-0.055787
188,-6.431840,-10.848000,1.877220,0.999915,-0.012487,-0.003657
189,-6.425490,-10.782900,1.897360,0.997215,-0.024374,0.070485
190,-6.425810,-10.857000,1.944750,0.998827,0.036842,0.031409
191,-3.497220,-4.053490,0.029976,0.014851,-0.002571,0.999886
192,-3.450310,-3.986670,0.027997,0.277441,0.035471,0.960088
193,-3.516390,-3.990190,0.027958,-0.010472,0.028687,0.999534
194,-6.429430,-5.441550,2.702780,0.993592,-0.097378,0.057379
195,-6.426060,-5.387510,2.625020,0.981879,0.009594,0.189265
196,-6.424990,-5.335950,2.697550,0.999866,0.015183,-0.006046
197,-1.682740,-9.095000,0.027242,-0.119937,0.126361,0.984707
198,-1.652130,-9.016030,0.029861,-0.060395,0.102396,0.992909
199,-1.710560,-9.038410,0.016592,-0.060792,0.093258,0.993784
200,-6.568300,-5.251720,2.473530,-0.006061,0.004786,-0.999970
201,-6.487210,-5.265620,2.472370,0.042347,0.001617,-0.999102
202,-6.535700,-5.304810,2.470240,0.012282,-0.008652,-0.999887
203,-6.162760,-4.952720,2.920680,0.012893,-0.020316,-0.999710
204,-6.159820,-5.022840,2.923840,-0.004132,-0.001972,-0.999990
205,-6.226110,-5.011370,2.920770,-0.010664,-0.020526,-0.999732
206,-6.418270,-4.460040,1.011690,0.505600,0.542166,0.671137
207,-8.704640,-9.926450,0.534064,-0.014902,0.999080,0.040212
