face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
89,-5.016017,-4.488110,-0.027688,0.083159,0.104806,-0.991010
90,-5.660080,-4.092067,0.027308,0.076604,-0.056955,0.995434
91,-4.663797,-5.061073,0.026716,-0.002945,0.056461,0.998400
92,-5.448410,-4.099440,-0.013045,0.907856,0.274874,-0.316610
93,-4.688563,-4.509830,2.923417,-0.012403,-0.005128,-0.999910
94,-5.701713,-5.977050,-0.026426,0.045488,-0.021414,-0.998735
95,-6.426493,-4.622343,0.616083,0.996544,-0.034042,0.075767
96,-5.005713,-4.761287,-0.026860,0.083096,0.099847,-0.991527
97,-7.763733,-9.193023,-0.028482,0.023542,-0.015967,-0.999595
98,-6.435210,-4.480410,2.614370,0.947934,0.317027,-0.030242
99,-1.829210,-9.976300,1.332550,0.072337,0.997265,-0.015193
100,-1.791527,-9.976403,1.306103,-0.061832,0.997693,0.028013
101,-4.713900,-4.464497,-0.008368,-0.259622,0.950100,-0.172936
102,-4.766303,-4.466777,-0.009219,0.172273,0.969787,-0.172729
103,-5.794530,-3.994430,2.929173,0.133741,0.164841,-0.977211
104,-5.765217,-3.971053,2.928783,-0.181941,-0.117287,-0.976289
105,-5.423147,-12.805433,2.921203,0.001582,-0.044580,-0.999005
106,-0.220452,-7.048747,2.546850,0.118820,0.986147,0.115736
107,-0.230796,-7.050073,2.592733,0.143674,0.989424,-0.019924
108,-1.897143,-7.525590,-0.028870,0.001503,0.025501,-0.999674
109,-5.148657,-4.555420,-0.026266,0.091379,-0.067215,-0.993545
110,-6.427460,-4.487323,2.490037,0.443450,-0.184012,-0.877207
111,-6.445217,-4.535067,2.484560,0.546504,0.025030,-0.837083
112,-6.297497,-5.464840,0.027684,-0.011045,0.041449,0.999080
113,-6.255710,-5.397807,2.921167,0.022811,0.010844,-0.999681
114,-6.427523,-4.557627,0.534945,0.989039,-0.072189,0.128806
115,-3.543780,-5.211080,2.169790,0.999999,-0.000805,0.001261
116,-3.542933,-5.237140,2.192823,0.998986,0.038872,-0.022707
117,-6.417763,-4.431393,0.766085,0.597489,0.446983,-0.665742
118,-3.375840,-4.011697,2.943937,0.903776,-0.427904,0.009336
119,-6.428583,-6.201007,0.632369,0.994161,-0.033187,-0.102679
120,-5.171780,-5.021087,0.028428,0.024790,0.065051,0.997574
121,-5.878213,-6.860863,2.921653,0.013005,0.028886,-0.999498
122,-6.391243,-4.562493,2.913690,0.265527,0.435402,-0.860186
123,-6.436907,-4.683057,2.487040,0.337309,0.205726,-0.918640
124,-6.452623,-4.630753,2.483120,0.434546,-0.110995,-0.893784
125,-2.700700,-8.373863,-0.024202,-0.031287,0.014025,-0.999412
126,-0.802678,-7.044097,1.345760,0.099553,0.995024,-0.003956
127,-5.565290,-4.015020,-0.028841,0.031895,0.009511,-0.999446
128,-3.669847,-4.387433,2.956367,0.325605,0.587457,0.740861
129,-5.409567,-5.238507,0.027127,0.035011,-0.000954,0.999386
130,-4.693223,-4.466347,0.009736,0.247718,0.813354,0.526395
131,-5.534400,-3.937893,0.020159,0.290682,-0.181036,0.939537
132,-5.520030,-3.919783,0.001212,0.957261,0.283540,-0.057064
133,-4.421827,-4.654333,-0.025702,0.121666,0.085350,-0.988895
134,-0.738174,-7.333107,-0.028448,-0.047527,0.027714,-0.998485
135,-6.464680,-4.452917,2.484660,-0.055607,0.313636,-0.947914
136,-5.743147,-5.041733,0.028133,0.035632,0.034916,0.998755
137,-0.199211,-7.060747,0.568464,0.874540,0.295829,-0.384271
138,-0.202873,-7.077060,0.515477,0.952195,0.291083,0.092710
139,-6.421087,-4.437663,0.962926,-0.118438,0.899871,0.419768
140,-6.461700,-4.443543,0.988948,0.253308,0.945964,0.202451
141,-6.426843,-4.544773,0.645504,0.998078,0.061949,-0.001717
142,-6.447337,-5.601283,2.478107,0.129737,0.024046,-0.991257
143,-6.460630,-5.548127,2.474893,0.200722,-0.084177,-0.976025
144,-3.903143,-6.107997,0.029100,0.020603,-0.008208,0.999754
145,-5.560293,-4.151513,-0.020439,-0.028470,0.203423,-0.978677
146,-5.390027,-4.843377,-0.028946,-0.042134,0.055027,-0.997596
147,-6.386000,-4.617417,0.812403,0.920322,-0.132277,-0.368116
148,-0.173905,-9.711363,-0.028345,0.054153,0.010749,-0.998475
149,-2.212253,-9.372047,2.923550,0.098488,0.044055,-0.994163
150,-1.071130,-9.976290,1.758937,0.057508,0.997654,-0.037148
151,-1.031787,-9.976113,1.772720,-0.080111,0.992312,-0.094337
152,-5.602927,-3.840657,2.954680,0.040805,0.825418,0.563046
153,-5.885850,-4.216660,0.027629,0.048427,0.009948,0.998777
154,-6.150090,-4.469570,2.921593,-0.017906,0.009578,-0.999794
155,-6.430773,-4.499163,0.372699,0.980533,0.111363,0.161720
156,-6.431303,-4.509520,0.414788,0.993808,0.088629,-0.067009
157,-5.121053,-4.616303,-0.025408,-0.033527,0.112566,-0.993078
158,-5.152370,-4.591787,-0.025130,0.097632,-0.004762,-0.995211
159,-5.625757,-4.580797,0.026800,0.165442,-0.072766,0.983531
160,-5.601930,-4.041540,2.924443,-0.118181,-0.011083,-0.992930
161,-5.758037,-4.108110,0.028269,-0.030436,0.057127,0.997903
162,-6.171880,-6.400137,-0.027861,0.048678,-0.014603,-0.998708
163,-6.415607,-4.572687,0.725811,0.859642,0.088230,-0.503220
164,-6.426010,-4.577253,0.677380,0.999878,-0.002044,0.015512
165,-6.425787,-4.683417,0.328038,0.999756,-0.022097,-0.000395
166,-4.818523,-4.617717,-0.028011,0.044618,0.120438,-0.991718
167,-5.384887,-5.697313,0.028796,-0.021695,0.045564,0.998726
168,-5.423383,-5.685163,0.028699,0.038843,0.021991,0.999003
169,-5.309973,-4.670273,-0.025419,0.020371,0.161363,-0.986685
170,-3.704693,-6.101947,2.921813,0.004083,0.034837,-0.999385
171,-5.956823,-4.662310,2.923150,-0.043903,0.059407,-0.997268
172,-0.928735,-7.043423,2.816137,-0.034837,0.998348,0.045680
173,-6.426963,-4.606543,0.655934,0.997136,-0.073800,-0.016561
174,-3.543483,-10.310200,1.058253,0.999465,-0.025224,0.020838
175,-5.804707,-10.275600,0.026863,-0.051088,0.076887,0.995730
176,-5.152243,-4.676083,0.028377,0.047814,-0.019768,0.998661
177,-6.422177,-5.023040,1.000169,0.845092,0.153528,0.512103
178,-6.420793,-4.965667,1.000089,0.815509,-0.175932,0.551356
179,-3.317037,-7.042967,1.605623,0.007357,0.999972,0.001448
180,-3.546110,-10.824867,1.136380,0.993106,-0.108859,-0.043487
181,-3.772360,-5.396997,-0.027080,-0.005397,0.045706,-0.998940
182,-3.544947,-5.379660,0.216769,0.988851,0.065985,0.133488
183,-3.542167,-5.339787,1.189593,0.999087,0.039590,0.016068
184,-5.760700,-4.208893,-0.025291,0.022555,0.100808,-0.994650
185,-5.773483,-4.160177,-0.025459,0.115455,-0.079891,-0.990095
186,-0.858067,-7.042990,2.789357,0.022791,0.999736,0.003006
187,-0.820763,-7.043007,2.763073,-0.004250,0.999760,0.021472
188,-5.622943,-10.932367,2.921073,0.014709,0.034296,-0.999303
189,-6.434800,-12.329633,0.254766,0.999711,0.010948,-0.021405
190,-3.620307,-7.480053,2.922510,0.079499,-0.040939,-0.995994
191,-0.586400,-7.045783,1.564597,0.035285,0.996546,0.075168
192,-3.542653,-11.460533,1.719380,0.999573,-0.013308,-0.025998
193,-0.076130,-9.461603,0.027447,0.085696,0.015403,0.996202
194,-0.226882,-7.048680,1.724983,0.174580,0.984560,0.012786
195,-0.621116,-7.043397,1.533810,0.007156,0.999403,0.033796
196,-2.395680,-9.967040,2.403470,-0.258696,0.947602,0.187422
197,-2.422593,-9.960447,2.370590,0.030040,0.920421,0.389774
198,0.117550,-7.529653,2.924723,-0.032652,-0.076153,-0.996561
199,-6.426303,-4.802897,0.588871,0.998809,0.048691,0.003233
200,-0.120150,-7.285447,2.922507,-0.000668,0.134070,-0.990972
201,0.052313,-7.315113,2.950763,0.809333,0.577385,-0.107734
202,-0.264620,-7.371500,2.921230,0.010262,0.025521,-0.999622
203,-0.056253,-7.574827,2.924750,0.028069,-0.099627,-0.994629
204,-0.134332,-7.522223,2.926130,-0.098245,0.125070,-0.987272
205,-0.162541,-7.495777,2.926160,0.127114,-0.101730,-0.986658
206,-1.499450,-7.047577,0.370080,0.118840,0.992276,0.035573
207,-3.470183,-4.236413,0.014593,0.443298,-0.011599,0.896299
208,-0.059773,-7.237467,2.931113,-0.042603,0.425333,-0.904034
209,-0.100385,-7.212243,2.931113,0.221117,-0.010465,-0.975191
210,0.100089,-7.492893,2.924277,-0.089347,-0.013083,-0.995915
