vertex_index,x,y,z,nx,ny,nz
91,-2.248810,1.054690,4.520450,0.408738,0.020207,-0.912428
92,-3.141840,0.174109,4.474990,0.707112,0.011533,-0.707007
93,-3.146860,0.155764,4.469670,0.707112,0.011533,-0.707007
94,-3.154600,0.167414,4.473450,-0.035172,0.287216,-0.957220
95,-3.145520,0.162051,4.483390,0.961777,-0.272103,0.030753
96,-1.392490,0.413960,4.595680,0.090663,0.158072,-0.983257
97,-0.764259,0.350021,4.653100,0.360141,0.932729,-0.017736
98,-0.754771,0.346171,4.643290,0.756124,0.208335,-0.620381
99,-0.764049,0.349560,4.633120,0.756124,0.208335,-0.620381
100,-1.281340,0.716712,4.585700,0.278316,-0.569470,-0.773462
101,-1.252880,0.725327,4.614970,0.952338,-0.081822,-0.293868
102,-1.276340,0.705037,4.596570,0.275105,-0.589380,-0.759571
103,-0.235520,0.598320,4.674320,-0.064921,-0.574830,-0.815693
104,-0.250538,0.601648,4.673170,-0.064921,-0.574830,-0.815693
105,-0.240175,0.610581,4.666050,-0.064921,-0.574830,-0.815693
106,-3.061770,0.147052,4.473200,0.754976,-0.259255,-0.602327
107,-3.052470,0.150553,4.483350,0.754976,-0.259255,-0.602327
108,-3.062260,0.147424,4.493170,0.327576,-0.944477,0.025631
109,-3.065000,0.157232,4.482920,0.392270,0.697285,-0.599931
110,-1.446120,0.036382,4.601490,0.649513,-0.706978,-0.279848
111,-1.448070,0.042104,4.582510,-0.094655,-0.354484,-0.930259
112,-1.438990,0.046191,4.593260,0.784863,-0.221548,-0.578712
113,0.092186,0.362098,4.633490,0.412282,-0.127599,-0.902077
114,0.098648,0.370034,4.643730,0.336435,0.629631,-0.700269
115,0.110330,0.361690,4.641840,0.412282,-0.127599,-0.902077
116,-2.646970,0.068359,4.525030,0.958486,0.257682,0.122082
117,-2.645330,0.071502,4.505520,0.461929,0.248900,-0.851276
118,-2.656320,0.074863,4.515210,-0.261342,0.780952,-0.567287
119,-3.063450,0.285016,4.481030,0.960473,-0.272258,0.058019
120,-3.062440,0.284349,4.461180,0.677339,0.425227,-0.600329
121,-3.060160,0.294468,4.470920,0.677339,0.425227,-0.600329
122,-2.452650,1.160910,4.507320,0.012178,0.784628,-0.619847
123,-2.447140,1.152340,4.496580,0.290141,0.072681,-0.954220
124,-2.456040,1.146300,4.507020,-0.448490,-0.552931,-0.702228
125,-3.067350,0.577937,4.481080,0.963389,-0.254655,-0.083866
126,-3.077100,0.574087,4.471560,0.439471,-0.893877,-0.088594
127,-3.068730,0.579214,4.461350,0.963389,-0.254655,-0.083866
128,-2.744400,0.251375,4.492800,0.475102,-0.331581,-0.815066
129,-2.740840,0.260970,4.504040,0.910984,0.326131,-0.252482
130,-2.745550,0.249093,4.512280,0.497144,-0.821591,-0.278992
131,-1.757520,1.347260,4.567260,0.822102,-0.555701,0.123874
