vertex_index,x,y,z,nx,ny,nz
93,1.443840,0.053128,2.844660,-0.280580,-0.006967,-0.959805
94,1.454960,0.057455,2.854920,0.884189,0.440190,0.156338
95,1.956420,0.863875,3.050850,-0.886042,0.202840,0.416876
96,1.968010,0.868159,3.037900,0.241146,0.567980,-0.786923
97,1.964710,0.851978,3.044800,-0.061244,-0.980818,-0.185054
98,2.219930,0.757764,3.442300,0.053244,0.518866,-0.853196
99,2.229820,0.750482,3.450050,0.950153,-0.296128,0.097557
100,2.210380,0.748076,3.447370,-0.842141,-0.518108,-0.149541
101,2.226530,0.552877,3.351420,-0.891993,0.449153,0.051096
102,2.235800,0.544769,3.343200,-0.045288,-0.389872,-0.919755
103,2.236060,0.544080,3.357500,-0.015235,-0.510572,0.859700
104,2.246390,0.551568,3.351000,0.944519,0.328227,0.012267
105,-0.352106,0.837359,4.693110,-0.803358,-0.591755,-0.066641
106,-0.344334,0.847694,4.703070,-0.043476,0.418680,0.907093
107,-0.342934,0.850566,4.685620,0.087618,0.656201,-0.749482
108,-1.384510,0.416099,4.608350,0.019330,0.366213,0.930330
109,-1.377920,0.424275,4.597460,0.500422,0.839085,-0.213340
110,-1.662470,-0.043722,4.541790,0.056638,-0.801026,0.595944
111,-1.666930,-0.039083,4.526540,-0.365791,-0.304344,-0.879529
112,-1.655850,-0.032568,4.534260,0.890525,0.405440,-0.206358
113,-0.558645,0.441167,4.656480,-0.919581,-0.392744,-0.011094
114,-0.550788,0.447687,4.646390,0.049611,0.315769,-0.947538
115,-0.544409,0.440632,4.657010,0.882182,-0.467523,0.056368
116,1.142130,2.434430,4.814980,0.158075,0.509250,0.845977
117,1.143870,2.437800,4.798850,0.252740,0.695117,-0.673004
118,1.133340,2.428250,4.804230,-0.820650,0.449839,-0.352391
119,0.128119,0.439037,4.333990,0.971894,-0.209892,-0.106618
120,0.115067,0.433578,4.340830,-0.325204,-0.752247,0.573033
121,0.112672,0.442888,4.325630,-0.508737,0.156096,-0.846653
122,-0.235520,0.598320,4.674320,0.745073,-0.666619,-0.022029
123,-0.242260,0.607643,4.684730,-0.006304,0.311956,0.950076
124,-0.250538,0.601648,4.673170,-0.942286,-0.298259,-0.152115
125,-2.835400,0.255518,4.484700,0.028593,0.174114,-0.984310
126,-2.828560,0.230279,4.499400,0.997294,-0.009496,0.072896
127,-2.837120,0.217471,4.496720,-0.440662,-0.663931,-0.604163
128,-2.819540,0.218607,4.504590,0.946522,-0.290128,0.141149
129,-0.808202,1.331430,4.655910,-0.927227,0.182809,-0.326849
130,-0.796774,1.321260,4.658010,0.236908,-0.961492,-0.139312
131,-0.798913,1.331800,4.669080,-0.008773,0.219448,0.975585
132,-0.537309,0.653034,4.650640,0.059594,-0.990133,-0.126825
133,-0.532180,0.666258,4.651090,0.724215,0.685714,-0.072869
134,-0.539311,0.661241,4.662280,-0.142056,0.027049,0.989489
135,-0.655430,0.275066,4.660950,-0.047482,-0.269947,0.961704
136,-0.662917,0.282379,4.649210,-0.862752,0.479068,-0.161721
137,-0.654325,0.270908,4.642730,0.056263,-0.660217,-0.748965
138,-1.652450,2.554950,4.518050,0.102753,0.669013,-0.736114
139,-1.647100,2.543150,4.525980,0.757665,-0.644231,0.104450
140,-1.661850,2.542620,4.522410,-0.791300,-0.556365,-0.253581
141,-1.653540,2.554040,4.534370,-0.009741,0.510742,0.859679
142,0.459185,-0.074447,1.669600,-0.401547,-0.909731,-0.105593
143,0.459726,-0.054540,1.670100,-0.351460,0.934324,-0.059282
144,0.468532,-0.064606,1.664460,0.623794,0.002453,-0.781585
145,0.109358,0.350744,4.318060,-0.709361,0.552843,-0.437233
146,0.114179,0.344361,4.330860,-0.335230,-0.045346,0.941045
147,0.127607,0.346657,4.324370,0.973706,0.175948,0.144706
148,-2.249600,1.054670,4.540410,0.335376,0.018351,0.941906
149,-2.256160,1.047340,4.530150,-0.382171,-0.923957,-0.015773
150,-2.248810,1.054690,4.520450,0.408738,0.020207,-0.912428
151,-0.652527,0.058280,4.652980,0.794964,0.585125,0.160190
152,-0.667130,0.057676,4.650950,-0.724665,0.688154,-0.036128
153,-0.660028,0.046807,4.656730,0.142656,-0.678114,0.720979
154,-3.146860,0.155764,4.469670,0.060992,-0.840966,-0.537640
155,-3.145520,0.162051,4.483390,0.232237,-0.328768,0.915411
156,-3.154600,0.167414,4.473450,-0.908474,0.324655,-0.263201
157,-3.141840,0.174109,4.474990,0.523836,0.850516,-0.047094
158,-0.735268,-0.062136,2.110750,0.908137,0.039011,-0.416853
159,-0.742109,-0.053409,2.119950,0.027667,0.835967,0.548082
160,-0.742921,-0.072980,2.116350,-0.047489,-0.975460,0.214995
161,-2.973990,2.447950,4.432990,0.541191,0.780989,0.311717
162,-2.982010,2.443380,4.420880,-0.267251,0.320192,-0.908875
163,-2.987630,2.436600,4.436740,-0.730504,-0.318197,0.604247
164,-1.392490,0.413960,4.595680,-0.812691,0.315876,-0.489648
165,-1.387210,0.381185,4.607500,-0.253099,-0.628811,0.735213
166,-1.050580,0.042897,4.626530,-0.153574,0.139463,0.978246
167,-1.040230,0.042849,4.615110,0.981949,0.165738,-0.091140
168,-1.053020,0.046840,4.607480,-0.378338,0.502721,-0.777260
169,-0.634233,-0.031207,4.576390,-0.400146,-0.657437,-0.638483
170,-0.622706,-0.024517,4.582870,0.985068,0.124522,0.118891
171,-0.633566,-0.029786,4.591470,-0.256793,-0.391921,0.883434
