face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
91,-2.847363,2.148800,4.443590,-0.052135,-0.782318,-0.620694
92,-3.017450,2.616040,4.458437,-0.300917,-0.910204,0.284567
93,-2.544750,2.623170,4.466590,-0.199557,0.098551,-0.974918
94,-2.544583,2.620047,4.470727,-0.144829,-0.917379,0.370729
95,-2.541413,2.624223,4.470500,0.942805,0.283196,0.175837
96,-1.760303,1.346057,4.553407,-0.702414,-0.163594,-0.692714
97,-1.238863,-0.021920,4.559237,-0.025144,0.984305,-0.174676
98,-3.057697,-0.025869,4.470000,0.253628,0.550703,-0.795235
99,-1.474317,0.238321,4.597137,-0.125344,-0.830168,-0.543241
100,-1.045313,0.454985,4.620457,-0.232898,0.926130,-0.296719
101,2.235927,0.452464,3.256377,-0.075885,0.982703,-0.168924
102,0.092435,1.425210,4.214970,0.933859,0.105821,-0.341626
103,0.106243,1.434623,4.226410,0.221412,-0.298429,-0.928395
104,-1.180487,0.699455,4.596373,-0.444823,-0.834575,-0.324988
105,-2.655420,2.619497,4.468070,0.734454,0.678518,0.013814
106,1.445300,1.651383,4.854853,-0.888320,0.439288,-0.133842
107,0.729812,2.564343,4.669193,0.139113,-0.569219,-0.810332
108,0.726955,2.563973,4.673280,-0.669694,-0.630338,0.392662
109,1.036143,2.644693,4.766127,0.496652,-0.765074,-0.409876
110,-1.946607,2.043103,4.518673,-0.176105,-0.775279,-0.606571
111,-1.550427,1.551187,4.582273,0.880249,-0.117339,-0.459776
112,-1.554383,1.549800,4.584730,-0.696773,-0.712497,-0.082801
113,-2.534613,2.441687,4.467297,0.124913,-0.503719,-0.854789
114,-1.521247,1.738807,4.598023,-0.151575,-0.158263,-0.975693
115,0.857458,1.643923,4.740017,-0.553093,-0.829922,0.072924
116,-2.746380,1.949183,4.452920,0.786807,0.030118,-0.616463
117,-2.466990,2.447987,4.468270,0.548340,-0.835761,-0.028774
118,-2.743263,2.140747,4.456670,-0.523937,-0.851255,-0.029227
119,-3.143383,1.945020,4.437033,0.703963,0.710140,0.011726
120,-2.650863,2.158773,4.463237,0.000598,0.749491,-0.662015
121,-3.247203,2.447203,4.427830,0.338950,-0.009489,-0.940756
122,-2.658033,2.616470,4.464763,0.001031,-0.633024,-0.774132
123,-3.153180,2.354360,4.429063,0.585487,0.742219,-0.326062
124,-3.153777,2.349767,4.430293,0.578662,-0.814635,0.038987
125,-2.623763,2.341250,4.468707,-0.514034,-0.848634,-0.124857
126,-2.842477,2.424610,4.446393,0.445094,-0.711293,-0.544016
127,-2.187330,2.271583,4.498850,0.801073,-0.375979,0.465750
128,-2.189593,2.271557,4.494157,-0.330888,-0.546018,-0.769661
129,-2.469330,2.450827,4.465067,-0.814578,0.116894,-0.568154
130,-2.466283,2.452717,4.468230,0.794114,0.606275,-0.042583
131,-2.849837,1.852053,4.450800,0.706558,0.701208,0.095308
132,0.049034,-0.104503,0.443369,-0.646524,-0.752081,-0.127987
133,-2.969197,2.345333,4.435540,0.349733,0.841524,-0.411734
134,-2.970030,2.340323,4.435007,0.507655,-0.851155,-0.133496
135,-2.554460,2.548810,4.467630,0.010432,0.698689,-0.715349
136,-2.325123,2.604267,4.476290,-0.020017,-0.996655,0.079229
137,-2.453370,2.610230,4.466120,0.734252,0.657206,-0.170158
138,-2.140677,2.431090,4.500150,0.015745,-0.899876,0.435861
139,-2.551767,2.546373,4.471243,0.827715,-0.555177,0.081650
140,-2.456093,2.606813,4.463560,-0.000948,-0.848986,-0.528414
141,2.513470,1.849297,4.757617,-0.823876,0.552063,0.128274
142,-2.257240,0.749193,4.534570,0.717769,0.695376,0.035511
143,-1.714837,2.539933,4.520930,0.670247,0.084222,-0.737343
144,1.361473,1.557043,4.844140,0.926451,-0.336427,-0.168837
145,-0.651073,0.809939,4.667683,-0.317800,-0.700261,-0.639247
146,1.885987,1.748997,4.803100,-0.288981,-0.948949,0.126436
147,2.241433,0.257729,3.261377,-0.641489,0.764052,0.068675
148,0.753308,-0.064766,1.454090,-0.957726,-0.010452,-0.287491
149,-0.754805,0.556038,4.644607,0.641246,-0.748814,0.167574
150,-0.756726,0.558249,4.640887,0.068686,-0.090344,-0.993539
151,-0.863357,1.440780,4.643617,0.955840,-0.282750,0.080139
152,0.750780,-0.056128,1.652793,-0.234554,0.489976,-0.839588
153,1.915857,1.762087,4.797143,-0.233402,0.742626,-0.627718
154,1.083083,2.696490,4.807630,0.245502,0.047247,-0.968244
155,2.631103,1.827117,4.838757,-0.299529,-0.946748,-0.118112
156,2.233380,0.648287,3.243437,0.052299,-0.988933,0.138840
157,-0.661062,-0.072759,1.538467,0.002074,0.559035,-0.829141
158,-0.520644,-0.018106,4.613227,-0.359856,-0.243343,-0.900715
159,-0.516874,-0.017731,4.616283,0.982778,-0.182786,-0.027131
160,0.166014,0.309885,3.503493,0.726562,0.415282,-0.547402
161,0.159713,0.309533,3.503087,-0.691775,0.336101,-0.639127
162,0.716526,2.204767,4.701057,-0.009004,0.590884,-0.806706
163,0.087998,1.435790,4.228183,-0.701740,0.616258,-0.357472
164,0.956418,-0.058389,1.436060,0.334592,0.848370,-0.410265
165,1.201510,-0.041448,2.399410,0.667534,-0.510731,-0.541805
166,-1.658423,2.045270,4.541420,0.376947,-0.888316,-0.262308
167,-1.664633,2.337960,4.535310,-0.746365,-0.643164,-0.171115
168,1.343933,1.769437,4.832477,-0.777598,-0.625186,0.066961
169,0.903647,-0.067860,1.292650,-0.364816,-0.100472,-0.925643
170,-3.083140,2.556867,4.439473,0.702897,-0.558599,-0.440344
171,-2.250017,2.561117,4.489090,0.353426,-0.050866,-0.934079
172,-1.855447,2.430517,4.509097,-0.170228,-0.800270,-0.574970
173,-1.975327,2.416240,4.496973,0.266921,-0.050177,-0.962411
174,-2.656167,1.849200,4.468447,-0.731803,-0.656903,-0.181503
175,-2.653063,1.852133,4.465840,0.079799,0.802393,-0.591437
176,-2.651560,1.849467,4.469430,0.736122,-0.664524,0.128578
177,-3.054543,2.045127,4.444373,0.592778,-0.804600,-0.035118
