face_index,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z
92,-0.242078,0.603516,4.671180,-0.064921,-0.574830,-0.815693
93,-3.058833,0.148343,4.483240,0.327576,-0.944477,0.025631
94,-3.059747,0.151612,4.479823,0.392270,0.697285,-0.599931
95,-3.059910,0.151736,4.486480,0.363348,0.719737,0.591572
96,-3.063010,0.150569,4.483097,-0.957884,-0.286582,-0.018165
97,-1.449183,0.041891,4.593013,-0.799224,-0.593203,-0.096708
98,-1.444393,0.041559,4.592420,0.649513,-0.706978,-0.279848
99,2.012227,1.561980,4.830663,0.547248,-0.810091,0.210412
100,-0.864273,0.945912,4.655883,-0.332844,0.825198,0.456358
101,-1.342870,0.246629,4.610190,0.712471,0.204285,0.671306
102,0.100388,0.364607,4.639687,0.336435,0.629631,-0.700269
103,-2.649540,0.071575,4.515253,0.428445,0.885720,0.178702
104,-3.072927,0.579993,4.474970,-0.716000,0.107701,0.689742
105,-1.550583,0.754731,4.590747,-0.963917,-0.059419,-0.259485
106,-2.750973,0.667586,4.495043,0.168413,0.985716,-0.000211
107,-1.514563,1.341960,4.608220,0.456241,0.849624,0.264544
108,-3.062017,0.287944,4.471043,0.960473,-0.272258,0.058019
109,-2.654540,0.553807,4.508227,-0.819919,-0.220176,0.528447
110,-2.451943,1.153183,4.503640,-0.799449,0.197151,-0.567462
111,-3.071060,0.577079,4.471330,0.439471,-0.893877,-0.088594
112,-2.441713,0.256537,4.534290,0.739445,-0.084692,0.667868
113,-2.743597,0.253813,4.503040,0.932502,-0.360940,0.012768
114,-1.757987,1.344310,4.557123,0.822102,-0.555701,0.123874
115,-3.049593,0.043285,4.481503,-0.159419,-0.959727,-0.231321
116,-3.203407,0.859913,4.446447,-0.666448,0.741737,-0.075326
117,-2.750373,0.055745,4.508520,0.486218,-0.865361,-0.121418
118,-2.944857,0.054506,4.489713,0.057800,-0.774718,0.629660
119,-2.980857,0.741246,4.469180,-0.775353,0.208875,-0.595986
120,-2.980847,0.740824,4.475817,-0.773505,0.131730,0.619949
121,-2.977820,0.742919,4.472613,0.810035,0.585275,0.035995
122,-2.978847,0.738271,4.472320,0.528529,-0.847154,-0.054664
123,-2.759867,0.256206,4.498993,-0.221814,-0.956039,0.191802
124,-2.767433,0.261236,4.494063,-0.347215,-0.736650,-0.580335
125,-3.143187,0.749579,4.460717,0.843799,-0.087148,0.529537
126,-3.151977,1.154240,4.455703,0.850538,-0.479166,0.216760
127,-2.537830,1.152977,4.502817,0.490089,0.869576,0.060422
128,-2.987633,0.370485,4.492057,-0.609980,-0.790818,0.050308
129,-2.982633,0.371919,4.493000,0.900926,-0.194961,0.387715
130,-2.985490,0.373853,4.488770,0.094890,0.294661,-0.950879
131,-2.971323,0.678577,4.472023,-0.169486,0.744700,-0.645520
132,-2.651663,0.068227,4.517893,-0.783216,-0.338756,0.521361
133,-1.752160,1.240613,4.557330,0.009140,-0.394467,-0.918864
134,-1.563410,1.151640,4.585007,0.515369,-0.856930,0.008183
135,-2.970423,0.943279,4.468780,0.963962,-0.026051,-0.264760
136,-3.145320,0.660301,4.465087,0.325262,0.806308,0.494037
137,-3.149077,0.656554,4.464657,-0.930962,-0.249970,0.266130
138,-3.144127,0.037588,4.472417,-0.249491,-0.908314,0.335738
139,-3.147160,0.273652,4.465430,-0.221551,0.937057,-0.269886
140,-2.274727,2.239700,4.488047,-0.217753,-0.026023,0.975657
141,-2.272380,2.242717,4.484893,-0.016736,0.867423,-0.497290
142,-2.276080,2.237310,4.483923,-0.716176,-0.154357,-0.680636
